WARNING 2019-04-24 12:49:25,043 -  * Debugger is active!
INFO 2019-04-24 12:49:25,045 -  * Debugger PIN: 566-502-667
INFO 2019-04-24 12:51:40,752 - 172.22.0.1 - - [24/Apr/2019 12:51:40] "GET /muser?uid=ihqvnteormayzoy HTTP/1.1" 200 -
INFO 2019-04-24 12:51:40,907 - 172.22.0.1 - - [24/Apr/2019 12:51:40] "GET /static/template/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 -
INFO 2019-04-24 12:51:40,915 - 172.22.0.1 - - [24/Apr/2019 12:51:40] "GET /static/template/dist/css/skins/skin-blue.min.css HTTP/1.1" 200 -
INFO 2019-04-24 12:51:40,920 - 172.22.0.1 - - [24/Apr/2019 12:51:40] "GET /static/template/dist/css/AdminLTE.css HTTP/1.1" 200 -
INFO 2019-04-24 12:51:40,927 - 172.22.0.1 - - [24/Apr/2019 12:51:40] "GET /static/template/css/dataTables.css HTTP/1.1" 200 -
INFO 2019-04-24 12:51:40,935 - 172.22.0.1 - - [24/Apr/2019 12:51:40] "GET /static/img/image08.png HTTP/1.1" 200 -
INFO 2019-04-24 12:51:40,938 - 172.22.0.1 - - [24/Apr/2019 12:51:40] "GET /static/template/dist/img/user.png HTTP/1.1" 200 -
INFO 2019-04-24 12:51:40,978 - 172.22.0.1 - - [24/Apr/2019 12:51:40] "GET /static/buttons/css/buttons.css HTTP/1.1" 200 -
INFO 2019-04-24 12:51:40,983 - 172.22.0.1 - - [24/Apr/2019 12:51:40] "GET /static/template/plugins/jQuery/jQuery-2.1.4.min.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:40,986 - 172.22.0.1 - - [24/Apr/2019 12:51:40] "GET /static/template/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:40,989 - 172.22.0.1 - - [24/Apr/2019 12:51:40] "GET /static/jqw/jqwidgets/styles/jqx.base.css HTTP/1.1" 200 -
INFO 2019-04-24 12:51:41,008 - 172.22.0.1 - - [24/Apr/2019 12:51:41] "GET /static/js/prod.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:41,013 - 172.22.0.1 - - [24/Apr/2019 12:51:41] "GET /static/template/dist/js/app.min.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:41,062 - 172.22.0.1 - - [24/Apr/2019 12:51:41] "GET /static/js/common.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:41,067 - 172.22.0.1 - - [24/Apr/2019 12:51:41] "GET /static/js/dataTables.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:41,069 - 172.22.0.1 - - [24/Apr/2019 12:51:41] "GET /static/js/main_user_page.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:41,090 - 172.22.0.1 - - [24/Apr/2019 12:51:41] "GET /static/buttons/js/buttons.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:41,104 - 172.22.0.1 - - [24/Apr/2019 12:51:41] "GET /static/js/metadata.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:41,112 - 172.22.0.1 - - [24/Apr/2019 12:51:41] "GET /static/jqw/scripts/jquery-1.11.1.min.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:41,150 - 172.22.0.1 - - [24/Apr/2019 12:51:41] "GET /static/jqw/jqwidgets/jqxcore.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:41,152 - 172.22.0.1 - - [24/Apr/2019 12:51:41] "GET /static/jqw/jqwidgets/jqxbuttons.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:41,158 - 172.22.0.1 - - [24/Apr/2019 12:51:41] "GET /static/jqw/jqwidgets/jqxscrollbar.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:41,169 - 172.22.0.1 - - [24/Apr/2019 12:51:41] "GET /static/jqw/jqwidgets/jqxdata.js HTTP/1.1" 200 -
INFO 2019-04-24 12:51:41,200 - 172.22.0.1 - - [24/Apr/2019 12:51:41] "GET /static/jqw/jqwidgets/jqxdatatable.js HTTP/1.1" 200 -
